mode,n,p_two_sided
ADAPTIVERAG,519,1.9736916591677462e-134
MEM,519,1.9736916591677462e-134
MEMSYM,520,1.0081290772459154e-134
RL,291,1.3713714644889935e-68
ROUTER,519,1.9736916591677462e-134
SYM,19,0.6476058959960938
