mode,threshold,coverage,accuracy,risk,n
BASE,0.94,0.0,0.0,1.0,0
BASE,0.96,0.0,0.0,1.0,0
BASE,0.98,0.0,0.0,1.0,0
BASE,1.0,0.0,0.0,1.0,0
MEM,0.0,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.02,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.04,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.06,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.08,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.1,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.12,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.14,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.16,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.18,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.2,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.22,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.24,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.26,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.28,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.3,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.32,1.0,0.5737179487179487,0.4262820512820513,624
MEM,0.34,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.36,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.38,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.4,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.42,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.44,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.46,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.48,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.5,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.52,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.54,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.56,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.58,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.6,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.62,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.64,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.66,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.68,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.7,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.72,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.74,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.76,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.78,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.8,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.82,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.84,0.3926282051282051,0.9591836734693877,0.04081632653061229,245
MEM,0.86,0.391025641025641,0.9631147540983607,0.03688524590163933,244
MEM,0.88,0.391025641025641,0.9631147540983607,0.03688524590163933,244
MEM,0.9,0.391025641025641,0.9631147540983607,0.03688524590163933,244
MEM,0.92,0.38621794871794873,0.975103734439834,0.024896265560165998,241
MEM,0.94,0.38621794871794873,0.975103734439834,0.024896265560165998,241
