mode,accuracy
ADAPTIVERAG,0.9749198016914552
BASE,0.016914552347623214
MEM,0.5001458151064451
MEMSYM,0.5777194517351998
RAG_BASE,0.8973461650627005
RL,0.8964712744240303
ROUTER,0.08690580344123651
SYM_ONLY,0.09652960046660834
