mode,AURC
ADAPTIVERAG,0.0116875336631331
BASE,0.9915427238261884
MEM,0.3469347339876194
MEMSYM,0.1387174691461489
RAG_BASE,0.5513269174686497
RL,0.4227264678702362
ROUTER,0.4666658331944921
SYM_ONLY,0.4555778041597235
