mode,n_total,fired_n,coverage,precision
ADAPTIVERAG,3429,273,0.079615,1.0
BASE,3429,0,0.0,0.0
MEM,3429,0,0.0,0.0
MEMSYM,3429,273,0.079615,1.0
RAG_BASE,3429,0,0.0,0.0
ROUTER,3429,273,0.079615,1.0
SYM_ONLY,3429,273,0.079615,1.0
ALL,24003,1092,0.045494,1.0
