mode,domain,type,n,acc,ci_lo,ci_hi
MEMSYM,battery,all,1070,0.594392523364486,0.5646848154364211,0.6234248647994721
MEMSYM,lexmark,all,936,0.46153846153846156,0.4298232327439311,0.4935681132020241
MEMSYM,viessmann,all,1423,0.6416022487702038,0.616336168107187,0.6661058352658573
RAG_BASE,battery,all,1070,0.9009345794392524,0.8815740600473531,0.9174264629348076
RAG_BASE,lexmark,all,936,0.9027777777777778,0.8821190506088971,0.9201437987904059
RAG_BASE,viessmann,all,1423,0.8910751932536893,0.8738225299049346,0.9062220104280637
RL,battery,all,1070,0.8990654205607477,0.8795635259806308,0.9157120528384427
RL,lexmark,all,936,0.9017094017094017,0.8809632487581173,0.9191715824730179
RL,viessmann,all,1423,0.8910751932536893,0.8738225299049346,0.9062220104280637
ROUTER,battery,all,1070,0.08785046728971962,0.07232949988826029,0.10632031215105725
ROUTER,lexmark,all,936,0.09935897435897435,0.08180131485512024,0.12019187208191254
ROUTER,viessmann,all,1423,0.07800421644413212,0.06517881075991798,0.09310196826979354
SYM_ONLY,battery,all,1070,0.09626168224299066,0.08000556300975163,0.11540649776345739
SYM_ONLY,lexmark,all,936,0.09935897435897435,0.08180131485512024,0.12019187208191254
SYM_ONLY,viessmann,all,1423,0.09486999297259312,0.08071662428839821,0.11120488963438063
ADAPTIVERAG,pooled,logic,295,0.7084745762711865,0.6541978734762196,0.7573914099434919
ADAPTIVERAG,pooled,open,2297,1.0,0.9983303500771197,1.0
ADAPTIVERAG,pooled,recall,837,1.0,0.9954312441249338,1.0
BASE,pooled,logic,295,0.19661016949152543,0.15528068444007342,0.24573978928246054
BASE,pooled,open,2297,0.0,0.0,0.001669649922880393
BASE,pooled,recall,837,0.0,4.336808689942018e-19,0.0045687558750661245
MEM,pooled,logic,295,0.013559322033898305,0.005285166317945109,0.03433983903606183
MEM,pooled,open,2297,0.5319982585981715,0.5115559681100196,0.5523336973063219
MEM,pooled,recall,837,0.5842293906810035,0.5505290511475992,0.6171600831673537
MEMSYM,pooled,logic,295,0.7084745762711865,0.6541978734762196,0.7573914099434919
MEMSYM,pooled,open,2297,0.5319982585981715,0.5115559681100196,0.5523336973063219
MEMSYM,pooled,recall,837,0.6571087216248507,0.6242983624797269,0.6884834979800791
RAG_BASE,pooled,logic,295,0.010169491525423728,0.0034643938938835397,0.029468102786632158
RAG_BASE,pooled,open,2297,1.0,0.9983303500771197,1.0
RAG_BASE,pooled,recall,837,0.9283154121863799,0.9088125657086716,0.9439045215524724
RL,pooled,logic,295,0.003389830508474576,0.0005986237528442448,0.01894885558068897
RL,pooled,open,2297,1.0,0.9983303500771197,1.0
RL,pooled,recall,837,0.927120669056153,0.907491323675876,0.942847194304205
ROUTER,pooled,logic,295,0.7932203389830509,0.7433781907531559,0.8355238095038365
ROUTER,pooled,open,2297,0.0,0.0,0.001669649922880393
ROUTER,pooled,recall,837,0.07646356033452807,0.06033272479462964,0.09646446506847892
SYM_ONLY,pooled,logic,295,0.9050847457627119,0.8662405070448214,0.9335142794373821
SYM_ONLY,pooled,open,2297,0.0,0.0,0.001669649922880393
SYM_ONLY,pooled,recall,837,0.07646356033452807,0.06033272479462964,0.09646446506847892
ADAPTIVERAG,pooled,all,3429,0.9749198016914552,0.9691304695750892,0.9796461940495883
BASE,pooled,all,3429,0.016914552347623214,0.013107666089161685,0.021802654270507694
MEM,pooled,all,3429,0.5001458151064451,0.4834193791549789,0.5168719247024435
MEMSYM,pooled,all,3429,0.5777194517351998,0.5611092749745488,0.5941556810315776
RAG_BASE,pooled,all,3429,0.8973461650627005,0.8867387172845568,0.907064294191417
RL,pooled,all,3429,0.8964712744240303,0.8858266824716171,0.9062285058598224
ROUTER,pooled,all,3429,0.08690580344123651,0.0779332725752795,0.0968028993471302
SYM_ONLY,pooled,all,3429,0.09652960046660834,0.0870917228361286,0.10687050367615791
