type,ADAPTIVERAG,BASE,MEM,MEMSYM,RL,ROUTER,SYM
logic,0.021645021645021644,0.012987012987012988,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.0
open,1.0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333
recall,0.11678832116788321,0.0,0.11678832116788321,0.12043795620437957,0.08394160583941605,0.11678832116788321,0.0036496350364963502
