mode,b,c,n_paired,p_value
ADAPTIVERAG,11,337,348,0.0
MEM,11,337,348,0.0
MEMSYM,11,338,349,0.0
RL,11,229,240,0.0
ROUTER,11,337,348,0.0
SYM,11,8,19,0.647606
