mode,accuracy
ADAPTIVERAG,0.0627625401531999
BASE,0.0013590313812700766
MEM,0.0627625401531999
MEMSYM,0.06288608846058809
RL,0.034593526068692856
ROUTER,0.0627625401531999
SYM,0.0009883864591055103
