type,ADAPTIVERAG,BASE,MEM,MEMSYM,RL,ROUTER,SYM
logic,0.0057405281285878304,0.003444316877152698,0.0057405281285878304,0.0057405281285878304,0.0057405281285878304,0.0057405281285878304,0.0
open,0.0057361376673040155,0.0,0.0057361376673040155,0.0057361376673040155,0.0057361376673040155,0.0057361376673040155,0.0019120458891013384
recall,0.06304347826086956,0.0,0.06304347826086956,0.06358695652173912,0.02717391304347826,0.06304347826086956,0.0005434782608695652
