mode,type,accuracy
ADAPTIVERAG,logic,0.12960893854748604
ADAPTIVERAG,open,0.006692160611854685
ADAPTIVERAG,recall,0.03506761402704561
BASE,logic,0.00409683426443203
BASE,open,0.0
BASE,recall,0.0
MEM,logic,0.12960893854748604
MEM,open,0.006692160611854685
MEM,recall,0.03506761402704561
MEMSYM,logic,0.12960893854748604
MEMSYM,open,0.006692160611854685
MEMSYM,recall,0.03529681411872565
RL,logic,0.07560521415270019
RL,open,0.006692160611854685
RL,recall,0.016044006417602567
ROUTER,logic,0.12960893854748604
ROUTER,open,0.006692160611854685
ROUTER,recall,0.03506761402704561
SYM,logic,0.0
SYM,open,0.0038240917782026767
SYM,recall,0.0009168003667201467
