scope,compare,n_rl,n_b,acc_rl,acc_b,delta,cohens_h
overall,RL_vs_BASE,3234,3234,0.0179,0.0009,0.017,0.2077
viessmann,RL_vs_BASE,3234,3234,0.0179,0.0009,0.017,0.2077
overall,RL_vs_MEM,3234,3234,0.0179,0.0383,-0.0204,-0.1255
viessmann,RL_vs_MEM,3234,3234,0.0179,0.0383,-0.0204,-0.1255
overall,RL_vs_SYM,3234,3234,0.0179,0.0006,0.0173,0.2189
viessmann,RL_vs_SYM,3234,3234,0.0179,0.0006,0.0173,0.2189
overall,RL_vs_MEMSYM,3234,3234,0.0179,0.0387,-0.0207,-0.1271
viessmann,RL_vs_MEMSYM,3234,3234,0.0179,0.0387,-0.0207,-0.1271
overall,RL_vs_ROUTER,3234,3234,0.0179,0.0383,-0.0204,-0.1255
viessmann,RL_vs_ROUTER,3234,3234,0.0179,0.0383,-0.0204,-0.1255
overall,RL_vs_ADAPTIVERAG,3234,3234,0.0179,0.0383,-0.0204,-0.1255
viessmann,RL_vs_ADAPTIVERAG,3234,3234,0.0179,0.0383,-0.0204,-0.1255
