factor_key,country_code,country_name,year,method,unit,value_kg_co2e_per_kwh,source_ref,status,notes
electricity_be_2012_lc,BE,Belgium,2012,CoM Table3 EU LC GHG,kg CO2e/kWh,0.292067994118333,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2012
electricity_be_2013_lc,BE,Belgium,2013,CoM Table3 EU LC GHG,kg CO2e/kWh,0.266779748828743,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2013
electricity_be_2014_lc,BE,Belgium,2014,CoM Table3 EU LC GHG,kg CO2e/kWh,0.279832490993641,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2014
electricity_be_2015_lc,BE,Belgium,2015,CoM Table3 EU LC GHG,kg CO2e/kWh,0.325177883119499,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2015
electricity_be_2016_lc,BE,Belgium,2016,CoM Table3 EU LC GHG,kg CO2e/kWh,0.259856848356181,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2016
electricity_be_2017_lc,BE,Belgium,2017,CoM Table3 EU LC GHG,kg CO2e/kWh,0.260562269801315,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2017
electricity_be_2018_lc,BE,Belgium,2018,CoM Table3 EU LC GHG,kg CO2e/kWh,0.27514705832542,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2018
electricity_be_2019_lc,BE,Belgium,2019,CoM Table3 EU LC GHG,kg CO2e/kWh,0.230388555151416,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2019
electricity_be_2020_lc,BE,Belgium,2020,CoM Table3 EU LC GHG,kg CO2e/kWh,0.237227716841247,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2020
electricity_be_2021_lc,BE,Belgium,2021,CoM Table3 EU LC GHG,kg CO2e/kWh,0.208454068688262,totalCarbonfootprintcalculation/CoM-Emission-factors-for-national-electricity-2024.xlsx,grounded,Extracted from Table3_EU_LC year column 2021
