mode,accuracy
ADAPTIVERAG,0.06288608846058809
BASE,0.0014825796886582653
MEM,0.06288608846058809
MEMSYM,0.06300963676797627
RL,0.03471707437608105
ROUTER,0.06288608846058809
SYM,0.001111934766493699
