mode,ece,n,bins,k
ADAPTIVERAG,0.408938,8093,10,10
BASE,0.498641,8093,10,10
MEM,0.408938,8093,10,10
MEMSYM,0.408822,8093,10,10
RL,0.36048,8093,10,10
ROUTER,0.408938,8093,10,10
SYM,0.499011,8093,10,10
