mode,n_total,fired_n,coverage,precision
ADAPTIVERAG,2,0,0.0,0.0
BASE,2,0,0.0,0.0
MEM,2,0,0.0,0.0
MEMSYM,2,0,0.0,0.0
RAG_BASE,2,0,0.0,0.0
RL,2,0,0.0,0.0
ROUTER,2,0,0.0,0.0
SYM,2,0,0.0,0.0
SYM_ONLY,2,0,0.0,0.0
