mode,type,n,acc,ci_lo,ci_hi
ADAPTIVERAG,logic,231,0.0216,0.0043,0.0433
BASE,logic,231,0.013,0.0,0.0303
MEM,logic,231,0.0216,0.0043,0.0433
MEMSYM,logic,231,0.0216,0.0043,0.0433
RL,logic,231,0.0216,0.0043,0.0433
ROUTER,logic,231,0.0216,0.0043,0.0433
SYM,logic,231,0.0,0.0,0.0
ADAPTIVERAG,open,3,1.0,1.0,1.0
BASE,open,3,0.0,0.0,0.0
MEM,open,3,1.0,1.0,1.0
MEMSYM,open,3,1.0,1.0,1.0
RL,open,3,1.0,1.0,1.0
ROUTER,open,3,1.0,1.0,1.0
SYM,open,3,0.3333,0.0,1.0
ADAPTIVERAG,recall,274,0.1168,0.0803,0.1569
BASE,recall,274,0.0,0.0,0.0
MEM,recall,274,0.1168,0.0803,0.1569
MEMSYM,recall,274,0.1204,0.0839,0.1606
RL,recall,274,0.0839,0.0511,0.1169
ROUTER,recall,274,0.1168,0.0803,0.1569
SYM,recall,274,0.0036,0.0,0.0109
